Symbol,Name,Market_Cap,Market_Cap_Formatted,Category,Source
NN,NextNav Inc.,1995470592,"$1,995,470,592",Small Cap,Yahoo Finance
UNIT,Uniti Group Inc.,1994152320,"$1,994,152,320",Small Cap,Yahoo Finance
PWP,Perella Weinberg Partners,1993246976,"$1,993,246,976",Small Cap,Yahoo Finance
CENTA,Central Garden & Pet Company,1988274560,"$1,988,274,560",Small Cap,Yahoo Finance
CMPR,Cimpress PLC,1987065472,"$1,987,065,472",Small Cap,Yahoo Finance
NVTS,Navitas Semiconductor Corporati,1986877056,"$1,986,877,056",Small Cap,Yahoo Finance
EXTR,"Extreme Networks, Inc.",1985846400,"$1,985,846,400",Small Cap,Yahoo Finance
APPN,Appian Corporation,1985537152,"$1,985,537,152",Small Cap,Yahoo Finance
SKWD,Skyward Specialty Insurance Gro,1979551360,"$1,979,551,360",Small Cap,Yahoo Finance
UFPT,"UFP Technologies, Inc.",1973383040,"$1,973,383,040",Small Cap,Yahoo Finance
CLMT,"Calumet, Inc",1971925632,"$1,971,925,632",Small Cap,Yahoo Finance
RNW,ReNew Energy Global plc,1970309120,"$1,970,309,120",Small Cap,Yahoo Finance
LMAT,"LeMaitre Vascular, Inc.",1959842944,"$1,959,842,944",Small Cap,Yahoo Finance
MBIN,Merchants Bancorp,1956884864,"$1,956,884,864",Small Cap,Yahoo Finance
OCUL,"Ocular Therapeutix, Inc.",1949384320,"$1,949,384,320",Small Cap,Yahoo Finance
SION,"Sionna Therapeutics, Inc.",1948046720,"$1,948,046,720",Small Cap,Yahoo Finance
ADUS,Addus HomeCare Corporation,1946658176,"$1,946,658,176",Small Cap,Yahoo Finance
HBNB,Hotel101 Global Holdings Corp.,1920049664,"$1,920,049,664",Small Cap,Yahoo Finance
HLMN,Hillman Solutions Corp.,1919076992,"$1,919,076,992",Small Cap,Yahoo Finance
JBLU,JetBlue Airways Corporation,1916755456,"$1,916,755,456",Small Cap,Yahoo Finance
IQ,"iQIYI, Inc.",1916288128,"$1,916,288,128",Small Cap,Yahoo Finance
SGRY,"Surgery Partners, Inc.",1914258304,"$1,914,258,304",Small Cap,Yahoo Finance
NWBI,"Northwest Bancshares, Inc.",1905247872,"$1,905,247,872",Small Cap,Yahoo Finance
VECO,Veeco Instruments Inc.,1900564224,"$1,900,564,224",Small Cap,Yahoo Finance
ARDX,"Ardelyx, Inc.",1892769792,"$1,892,769,792",Small Cap,Yahoo Finance
ODD,ODDITY Tech Ltd.,1891462016,"$1,891,462,016",Small Cap,Yahoo Finance
WLDN,"Willdan Group, Inc.",1890344960,"$1,890,344,960",Small Cap,Yahoo Finance
DRH,Diamondrock Hospitality Company,1884930560,"$1,884,930,560",Small Cap,Yahoo Finance
METCB,"Ramaco Resources, Inc.",1882616960,"$1,882,616,960",Small Cap,Yahoo Finance
MAAS,Maase Inc.,1882015744,"$1,882,015,744",Small Cap,Yahoo Finance
TILE,"Interface, Inc.",1880761728,"$1,880,761,728",Small Cap,Yahoo Finance
HTO,H2O America,1880125056,"$1,880,125,056",Small Cap,Yahoo Finance
QDEL,QuidelOrtho Corporation,1878306944,"$1,878,306,944",Small Cap,Yahoo Finance
RUM,Rumble Inc.,1871673600,"$1,871,673,600",Small Cap,Yahoo Finance
VCEL,Vericel Corporation,1868204416,"$1,868,204,416",Small Cap,Yahoo Finance
MQ,"Marqeta, Inc.",1864648192,"$1,864,648,192",Small Cap,Yahoo Finance
SNDX,"Syndax Pharmaceuticals, Inc.",1855631872,"$1,855,631,872",Small Cap,Yahoo Finance
CLBK,"Columbia Financial, Inc.",1847389312,"$1,847,389,312",Small Cap,Yahoo Finance
MNKD,MannKind Corporation,1845492352,"$1,845,492,352",Small Cap,Yahoo Finance
JJSF,J & J Snack Foods Corp.,1841468544,"$1,841,468,544",Small Cap,Yahoo Finance
PENN,"PENN Entertainment, Inc.",1839659520,"$1,839,659,520",Small Cap,Yahoo Finance
MCW,"Mister Car Wash, Inc.",1837658624,"$1,837,658,624",Small Cap,Yahoo Finance
SEDG,"SolarEdge Technologies, Inc.",1832273536,"$1,832,273,536",Small Cap,Yahoo Finance
ATRC,"AtriCure, Inc.",1830579456,"$1,830,579,456",Small Cap,Yahoo Finance
NWL,Newell Brands Inc.,1819328000,"$1,819,328,000",Small Cap,Yahoo Finance
DVAX,Dynavax Technologies Corporatio,1818912768,"$1,818,912,768",Small Cap,Yahoo Finance
CHCO,City Holding Company,1804539392,"$1,804,539,392",Small Cap,Yahoo Finance
ZLAB,Zai Lab Limited,1802678144,"$1,802,678,144",Small Cap,Yahoo Finance
DJTWW,Trump Media & Technology Group ,1797854336,"$1,797,854,336",Small Cap,Yahoo Finance
ANIP,"ANI Pharmaceuticals, Inc.",1796653440,"$1,796,653,440",Small Cap,Yahoo Finance
SONO,"Sonos, Inc.",1793863424,"$1,793,863,424",Small Cap,Yahoo Finance
PHVS,Pharvaris N.V.,1781837952,"$1,781,837,952",Small Cap,Yahoo Finance
DFTX,"Definium Therapeutics, Inc.",1772305792,"$1,772,305,792",Small Cap,Yahoo Finance
ZYME,Zymeworks Inc.,1764404352,"$1,764,404,352",Small Cap,Yahoo Finance
PRGS,Progress Software Corporation,1758781440,"$1,758,781,440",Small Cap,Yahoo Finance
INOD,Innodata Inc.,1758087296,"$1,758,087,296",Small Cap,Yahoo Finance
NRIX,"Nurix Therapeutics, Inc.",1757587072,"$1,757,587,072",Small Cap,Yahoo Finance
STOK,"Stoke Therapeutics, Inc.",1757494784,"$1,757,494,784",Small Cap,Yahoo Finance
CRVS,"Corvus Pharmaceuticals, Inc.",1757445248,"$1,757,445,248",Small Cap,Yahoo Finance
AXGN,"AxoGen, Inc.",1756925952,"$1,756,925,952",Small Cap,Yahoo Finance
MBX,"MBX Biosciences, Inc.",1754333056,"$1,754,333,056",Small Cap,Yahoo Finance
AVAH,Aveanna Healthcare Holdings Inc,1740231808,"$1,740,231,808",Small Cap,Yahoo Finance
ICFI,"ICF International, Inc.",1728737280,"$1,728,737,280",Small Cap,Yahoo Finance
AZTA,"Azenta, Inc.",1725988736,"$1,725,988,736",Small Cap,Yahoo Finance
SMPL,The Simply Good Foods Company,1722334976,"$1,722,334,976",Small Cap,Yahoo Finance
REAL,"The RealReal, Inc.",1716404736,"$1,716,404,736",Small Cap,Yahoo Finance
PGEN,"Precigen, Inc.",1708972416,"$1,708,972,416",Small Cap,Yahoo Finance
ARRY,"Array Technologies, Inc.",1701610112,"$1,701,610,112",Small Cap,Yahoo Finance
PAHC,Phibro Animal Health Corporatio,1698763520,"$1,698,763,520",Small Cap,Yahoo Finance
PCT,"PureCycle Technologies, Inc.",1692062464,"$1,692,062,464",Small Cap,Yahoo Finance
DGII,Digi International Inc.,1691520000,"$1,691,520,000",Small Cap,Yahoo Finance
MCRI,"Monarch Casino & Resort, Inc.",1679144192,"$1,679,144,192",Small Cap,Yahoo Finance
OCS,Oculis Holding AG,1678134528,"$1,678,134,528",Small Cap,Yahoo Finance
SRCE,1st Source Corporation,1673044224,"$1,673,044,224",Small Cap,Yahoo Finance
ELVN,"Enliven Therapeutics, Inc.",1671813888,"$1,671,813,888",Small Cap,Yahoo Finance
RAPT,"RAPT Therapeutics, Inc.",1670446208,"$1,670,446,208",Small Cap,Yahoo Finance
IMCR,Immunocore Holdings plc,1669525120,"$1,669,525,120",Small Cap,Yahoo Finance
ALGT,Allegiant Travel Company,1667634176,"$1,667,634,176",Small Cap,Yahoo Finance
KDK,"Kodiak AI, Inc.",1667107968,"$1,667,107,968",Small Cap,Yahoo Finance
HROW,"Harrow, Inc.",1662981632,"$1,662,981,632",Small Cap,Yahoo Finance
ORKA,"Oruka Therapeutics, Inc.",1660436608,"$1,660,436,608",Small Cap,Yahoo Finance
PSIX,"Power Solutions International, ",1660099072,"$1,660,099,072",Small Cap,Yahoo Finance
TCBK,TriCo Bancshares,1659394560,"$1,659,394,560",Small Cap,Yahoo Finance
ALVO,Alvotech,1657718144,"$1,657,718,144",Small Cap,Yahoo Finance
TYRA,"Tyra Biosciences, Inc.",1655602432,"$1,655,602,432",Small Cap,Yahoo Finance
STBA,"S&T Bancorp, Inc.",1651594240,"$1,651,594,240",Small Cap,Yahoo Finance
BCRX,"BioCryst Pharmaceuticals, Inc.",1644498944,"$1,644,498,944",Small Cap,Yahoo Finance
LZ,"LegalZoom.com, Inc.",1643874304,"$1,643,874,304",Small Cap,Yahoo Finance
AGIO,"Agios Pharmaceuticals, Inc.",1642116992,"$1,642,116,992",Small Cap,Yahoo Finance
WINA,Winmark Corporation,1642001664,"$1,642,001,664",Small Cap,Yahoo Finance
IPX,IperionX Limited,1641591040,"$1,641,591,040",Small Cap,Yahoo Finance
CLDX,"Celldex Therapeutics, Inc.",1638643968,"$1,638,643,968",Small Cap,Yahoo Finance
PRCT,PROCEPT BioRobotics Corporation,1628302080,"$1,628,302,080",Small Cap,Yahoo Finance
RCAT,"Red Cat Holdings, Inc.",1627028608,"$1,627,028,608",Small Cap,Yahoo Finance
BFC,Bank First Corporation,1626160000,"$1,626,160,000",Small Cap,Yahoo Finance
GABC,"German American Bancorp, Inc.",1619813376,"$1,619,813,376",Small Cap,Yahoo Finance
BLBD,Blue Bird Corporation,1619365888,"$1,619,365,888",Small Cap,Yahoo Finance
UPB,"Upstream Bio, Inc.",1617915520,"$1,617,915,520",Small Cap,Yahoo Finance
AMLX,"Amylyx Pharmaceuticals, Inc.",1611053056,"$1,611,053,056",Small Cap,Yahoo Finance
TNGX,"Tango Therapeutics, Inc.",1608044416,"$1,608,044,416",Small Cap,Yahoo Finance
NEO,"NeoGenomics, Inc.",1592763904,"$1,592,763,904",Small Cap,Yahoo Finance
GLUE,"Monte Rosa Therapeutics, Inc.",1591948800,"$1,591,948,800",Small Cap,Yahoo Finance
PGY,Pagaya Technologies Ltd.,1586211840,"$1,586,211,840",Small Cap,Yahoo Finance
LILA,Liberty Latin America Ltd.,1578013056,"$1,578,013,056",Small Cap,Yahoo Finance
LILAK,Liberty Latin America Ltd.,1572089728,"$1,572,089,728",Small Cap,Yahoo Finance
STGW,Stagwell Inc.,1570327168,"$1,570,327,168",Small Cap,Yahoo Finance
INVA,"Innoviva, Inc.",1568654976,"$1,568,654,976",Small Cap,Yahoo Finance
WBTN,WEBTOON Entertainment Inc.,1567831040,"$1,567,831,040",Small Cap,Yahoo Finance
HOPE,"Hope Bancorp, Inc.",1565342208,"$1,565,342,208",Small Cap,Yahoo Finance
SHLS,"Shoals Technologies Group, Inc.",1560060032,"$1,560,060,032",Small Cap,Yahoo Finance
FTRE,Fortrea Holdings Inc.,1557864064,"$1,557,864,064",Small Cap,Yahoo Finance
TRIP,"TripAdvisor, Inc.",1556050048,"$1,556,050,048",Small Cap,Yahoo Finance
QCRH,"QCR Holdings, Inc.",1555049728,"$1,555,049,728",Small Cap,Yahoo Finance
DCOM,"Dime Community Bancshares, Inc.",1552104064,"$1,552,104,064",Small Cap,Yahoo Finance
LKFN,Lakeland Financial Corporation,1551125760,"$1,551,125,760",Small Cap,Yahoo Finance
